Title
Advances in industrial and labor relations
British journal of industrial relations
Economic and industrial democracy
European journal of industrial relations
Industrial and labor relations review
Industrial relations journal
Industrial relations: a journal of economy and society
Journal of industrial relations
Labour: review of labour economics and industrial relations
Relations industrielles/industrial relations
Work and occupations
