,t,betahat
1,-7,-0.0916238
2,-6,-0.0142576
3,-5,-0.1150958
4,-4,0.0125215
5,-3,-0.1024965
6,-2,-0.0461164
7,-1,-0.0266419
8,0,-0.2727834
9,1,-0.064723
10,2,-0.0835472
11,3,0.0687818
12,4,-0.3656928
13,5,-0.2928922
