t,beta_true
-7,0.3124396
-6,0.1668022
-5,0.0211648
-4,-0.1244725
-3,-0.2701099
-2,-0.4157473
-1,-0.5613846
0,-0.707022
1,-0.8526593
2,-0.9982967
3,-1.143934
4,-1.289571
5,-1.435209
